experiment,n_features,accuracy,f1,precision,recall,roc_auc,accuracy_std,f1_std,roc_auc_std
EXP08_XGBoost_n100,136,0.6951,0.2213,0.1436,0.4823,0.6445,0.0069,0.0039,0.0057
EXP09_LinearSVM_top20,20,0.69,0.2221,0.1434,0.4928,0.6398,0.0066,0.0073,0.0063
EXP06_RandomForest_n100_balanced,136,0.9102,0.0022,0.3476,0.0011,0.6296,0.0001,0.0021,0.008
EXP07_RandomForest_n200_tuned_balanced,30,0.8996,0.0666,0.2025,0.0399,0.6185,0.0014,0.0031,0.0084
EXP05_DecisionTree_depth10_min20,136,0.9009,0.0718,0.2366,0.0433,0.6101,0.0045,0.0167,0.0036
EXP04_DecisionTree_depth5,136,0.9004,0.0967,0.2614,0.0593,0.6028,0.0015,0.0058,0.0099
EXP02_KNN_k11_top20_anova,20,0.7394,0.1674,0.1174,0.2918,0.5673,0.0041,0.0049,0.0067
EXP01_KNN_k5_all_features,136,0.7305,0.1759,0.1212,0.3203,0.5639,0.004,0.0048,0.0034
EXP10_MLP_2layer_top30,30,0.8712,0.1025,0.1387,0.0827,0.5633,0.0085,0.0149,0.0105
EXP03_NaiveBayes_GaussianNB,136,0.1114,0.1662,0.0907,0.9858,0.5055,0.0016,0.0001,0.0007
