column,dtype,n_missing,pct_missing,n_unique
encounter_id,int64,0,0.0,101766
patient_nbr,int64,0,0.0,71518
race,str,2273,2.23,5
gender,str,0,0.0,3
age,str,0,0.0,10
weight,str,98569,96.86,9
admission_type_id,int64,0,0.0,8
discharge_disposition_id,int64,0,0.0,26
admission_source_id,int64,0,0.0,17
time_in_hospital,int64,0,0.0,14
payer_code,str,40256,39.56,17
medical_specialty,str,49949,49.08,72
num_lab_procedures,int64,0,0.0,118
num_procedures,int64,0,0.0,7
num_medications,int64,0,0.0,75
number_outpatient,int64,0,0.0,39
number_emergency,int64,0,0.0,33
number_inpatient,int64,0,0.0,21
diag_1,str,21,0.02,716
diag_2,str,358,0.35,748
diag_3,str,1423,1.4,789
number_diagnoses,int64,0,0.0,16
max_glu_serum,str,96420,94.75,3
A1Cresult,str,84748,83.28,3
metformin,str,0,0.0,4
repaglinide,str,0,0.0,4
nateglinide,str,0,0.0,4
chlorpropamide,str,0,0.0,4
glimepiride,str,0,0.0,4
acetohexamide,str,0,0.0,2
glipizide,str,0,0.0,4
glyburide,str,0,0.0,4
tolbutamide,str,0,0.0,2
pioglitazone,str,0,0.0,4
rosiglitazone,str,0,0.0,4
acarbose,str,0,0.0,4
miglitol,str,0,0.0,4
troglitazone,str,0,0.0,2
tolazamide,str,0,0.0,3
examide,str,0,0.0,1
citoglipton,str,0,0.0,1
insulin,str,0,0.0,4
glyburide-metformin,str,0,0.0,4
glipizide-metformin,str,0,0.0,2
glimepiride-pioglitazone,str,0,0.0,2
metformin-rosiglitazone,str,0,0.0,2
metformin-pioglitazone,str,0,0.0,2
change,str,0,0.0,2
diabetesMed,str,0,0.0,2
readmitted,str,0,0.0,3
