eps,min_samples,n_clusters,n_noise,noise_pct,silhouette
0.3,5,375,66342,94.8,
0.3,10,32,69460,99.2,
0.3,20,0,69987,100.0,
0.3,50,0,69987,100.0,
0.5,5,567,54749,78.2,
0.5,10,122,62286,89.0,
0.5,20,28,67489,96.4,
0.5,50,2,69830,99.8,
0.7,5,335,33711,48.2,-0.47135999060191525
0.7,10,60,43151,61.7,
0.7,20,9,51855,74.1,
0.7,50,3,62329,89.1,
1.0,5,143,14289,20.4,-0.2555291778064351
1.0,10,53,19158,27.4,-0.22293259648903258
1.0,20,26,25583,36.6,-0.2748095354938793
1.0,50,4,35209,50.3,
1.5,5,39,4328,6.2,-0.06985343126196333
1.5,10,13,5640,8.1,-0.02432298445249991
1.5,20,6,7358,10.5,-0.005370786662998544
1.5,50,6,10722,15.3,-0.0814667454846733
2.0,5,14,1575,2.3,0.07699237612641475
2.0,10,7,2078,3.0,0.05986131113205727
2.0,20,4,2732,3.9,0.06847704353780056
2.0,50,3,3919,5.6,0.050926675066255846
