column,dtype
gender,int64
time_in_hospital,int64
num_lab_procedures,int64
num_procedures,int64
num_medications,int64
number_outpatient,int64
number_emergency,int64
number_inpatient,int64
number_diagnoses,int64
metformin,int64
glimepiride,int64
glipizide,int64
glyburide,int64
pioglitazone,int64
rosiglitazone,int64
insulin,int64
change,int64
diabetesMed,int64
early_readmit,int64
age_num,int64
n_active_meds,int64
race_AfricanAmerican,int64
race_Asian,int64
race_Caucasian,int64
race_Hispanic,int64
race_Other,int64
race_Unknown,int64
admission_type_Elective,int64
admission_type_Emergency,int64
admission_type_NULL,int64
admission_type_Newborn,int64
admission_type_Not_Available,int64
admission_type_Not_Mapped,int64
admission_type_Trauma_Center,int64
admission_type_Urgent,int64
discharge_disposition_AMA,int64
discharge_disposition_Admitted_Inpatient,int64
discharge_disposition_Federal_Health_Facility,int64
discharge_disposition_Home,int64
discharge_disposition_Home_Health_Org,int64
discharge_disposition_Home_IV,int64
discharge_disposition_Intermediate_Care,int64
discharge_disposition_Long_Term_Hospital,int64
discharge_disposition_Long_Term_Rehab,int64
discharge_disposition_Neonate,int64
discharge_disposition_Not_Applicable,int64
discharge_disposition_Nursing_Facility,int64
discharge_disposition_Other_Inpatient,int64
discharge_disposition_Psychiatric_Hospital,int64
discharge_disposition_Rehab_Facility,int64
discharge_disposition_Short_Term_Hospital,int64
discharge_disposition_Short_Term_Rehab,int64
discharge_disposition_Skilled_Nursing,int64
discharge_disposition_Still_Patient,int64
discharge_disposition_Swing_Bed,int64
discharge_disposition_Veteran_Hospital,int64
admission_source_Clinic_Referral,int64
admission_source_Court_Law,int64
admission_source_Emergency_Room,int64
admission_source_Extramural_Birth,int64
admission_source_HMO_Referral,int64
admission_source_NULL,int64
admission_source_Normal_Delivery,int64
admission_source_Not_Available,int64
admission_source_Physician_Ext,int64
admission_source_Physician_Referral,int64
admission_source_Sick_Baby,int64
admission_source_Transfer_Critical_Access,int64
admission_source_Transfer_Hospital,int64
admission_source_Transfer_Other,int64
admission_source_Transfer_Rehab,int64
admission_source_Transfer_SNF,int64
admission_source_Unknown,int64
diag_1_cat_Blood,int64
diag_1_cat_Circulatory,int64
diag_1_cat_Congenital,int64
diag_1_cat_Diabetes,int64
diag_1_cat_Digestive,int64
diag_1_cat_Endocrine_Metabolic,int64
diag_1_cat_External_Causes,int64
diag_1_cat_Genitourinary,int64
diag_1_cat_Infectious,int64
diag_1_cat_Injury_Poisoning,int64
diag_1_cat_Mental,int64
diag_1_cat_Musculoskeletal,int64
diag_1_cat_Neoplasms,int64
diag_1_cat_Nervous_System,int64
diag_1_cat_Pregnancy,int64
diag_1_cat_Respiratory,int64
diag_1_cat_Skin,int64
diag_1_cat_Supplementary,int64
diag_1_cat_Symptoms,int64
diag_1_cat_Unknown,int64
diag_2_cat_Blood,int64
diag_2_cat_Circulatory,int64
diag_2_cat_Congenital,int64
diag_2_cat_Diabetes,int64
diag_2_cat_Digestive,int64
diag_2_cat_Endocrine_Metabolic,int64
diag_2_cat_External_Causes,int64
diag_2_cat_Genitourinary,int64
diag_2_cat_Infectious,int64
diag_2_cat_Injury_Poisoning,int64
diag_2_cat_Mental,int64
diag_2_cat_Musculoskeletal,int64
diag_2_cat_Neoplasms,int64
diag_2_cat_Nervous_System,int64
diag_2_cat_Pregnancy,int64
diag_2_cat_Respiratory,int64
diag_2_cat_Skin,int64
diag_2_cat_Supplementary,int64
diag_2_cat_Symptoms,int64
diag_2_cat_Unknown,int64
diag_3_cat_Blood,int64
diag_3_cat_Circulatory,int64
diag_3_cat_Congenital,int64
diag_3_cat_Diabetes,int64
diag_3_cat_Digestive,int64
diag_3_cat_Endocrine_Metabolic,int64
diag_3_cat_External_Causes,int64
diag_3_cat_Genitourinary,int64
diag_3_cat_Infectious,int64
diag_3_cat_Injury_Poisoning,int64
diag_3_cat_Mental,int64
diag_3_cat_Musculoskeletal,int64
diag_3_cat_Neoplasms,int64
diag_3_cat_Nervous_System,int64
diag_3_cat_Pregnancy,int64
diag_3_cat_Respiratory,int64
diag_3_cat_Skin,int64
diag_3_cat_Supplementary,int64
diag_3_cat_Symptoms,int64
diag_3_cat_Unknown,int64
total_visits,int64
procedures_per_day,float64
meds_per_day,float64
lab_per_day,float64
