experiment,n_features,mae,rmse,r2,mae_std,rmse_std,r2_std
EXP08_XGBoost_n100,133,1.6116,2.1633,0.4562,0.0175,0.0217,0.0069
EXP07_RandomForest_n100,133,1.6489,2.2139,0.4304,0.0172,0.0198,0.0059
EXP09_XGBoost_NoLeak,112,1.6693,2.2309,0.4216,0.0143,0.0167,0.0055
EXP01_LinearRegression_all,133,1.7121,2.2694,0.4016,0.0224,0.027,0.0067
EXP02_Ridge_a1_all,133,1.7121,2.2694,0.4016,0.0224,0.027,0.0067
EXP04_Lasso_a001_all,133,1.7126,2.2702,0.4012,0.0222,0.027,0.0064
EXP10_Poisson_all,133,1.7246,2.292,0.3896,0.0247,0.0292,0.0072
EXP06_DecisionTree_depth10_min20,133,1.7299,2.3211,0.3739,0.0171,0.0188,0.008
EXP03_Ridge_a10_top20,20,1.7856,2.3625,0.3515,0.0182,0.0223,0.0041
EXP05_DecisionTree_depth5,133,1.8201,2.4003,0.3305,0.0121,0.0202,0.007
